chr	start	end	strand	name	id
chr10	104178850	104179151	-	PSD	ENST00000020673.5
chr10	3824192	3824493	-	KLF6	ENST00000173785.4
chr10	69644176	69644477	+	SIRT1	ENST00000212015.10
chr10	17271026	17271327	+	VIM	ENST00000224237.9
chr10	94833396	94833697	+	CYP26A1	ENST00000224356.4
chr10	86088168	86088469	+	CCSER2	ENST00000224756.12
chr10	3214948	3215249	-	PITRM1	ENST00000224949.8
chr10	96162010	96162311	+	TBC1D12	ENST00000225235.4
chr10	104220901	104221202	+	MFSD13A	ENST00000238936.8
chr10	93392760	93393061	-	PPP1R3C	ENST00000238994.5
chr10	111985500	111985801	+	MXI1	ENST00000239007.11
chr10	120355160	120355461	-	PRLHR	ENST00000239032.3
chr10	125651279	125651580	-	CPXM2	ENST00000241305.3
chr10	64576064	64576365	-	EGR2	ENST00000242480.3
chr10	74927673	74927974	+	FAM149B1	ENST00000242505.10
chr10	135340616	135340917	+	CYP2E1	ENST00000252945.7
chr10	129705074	129705375	+	PTPRE	ENST00000254667.7
chr10	6104202	6104503	-	IL2RA	ENST00000256876.10
chr10	100027956	100028257	-	LOXL4	ENST00000260702.3
chr10	124030570	124030871	+	BTBD16	ENST00000260723.4
chr10	105212024	105212325	-	CALHM2	ENST00000260743.9
chr10	104474113	104474414	-	ARL3	ENST00000260746.5
chr10	91461116	91461417	+	KIF20B	ENST00000260753.8
chr10	94608026	94608327	+	EXOC6	ENST00000260762.10
chr10	12110720	12111021	+	DHTKD1	ENST00000263035.8
chr10	13141198	13141499	+	OPTN	ENST00000263036.9
chr10	30638197	30638498	-	MTPAP	ENST00000263063.8
chr10	5238547	5238848	+	AKR1C4	ENST00000263126.2
chr10	72238326	72238627	+	PALD1	ENST00000263563.6
chr10	14014318	14014619	-	FRMD4A	ENST00000264546.10
chr10	33625139	33625440	-	NRP1	ENST00000265371.8
chr10	81932576	81932877	-	ANXA11	ENST00000265447.8
chr10	70091581	70091882	+	HNRNPH3	ENST00000265866.11
chr10	70480720	70481021	+	CCAR1	ENST00000265872.10
chr10	26222945	26223246	+	MYO3A	ENST00000265944.9
chr10	93683275	93683576	+	BTAF1	ENST00000265990.10
chr10	94050793	94051094	-	CPEB3	ENST00000265997.4
chr10	99531658	99531959	-	SFRP5	ENST00000266066.3
chr10	1071748	1072049	-	IDI2	ENST00000277517.1
chr10	64892799	64893100	+	NRBF2	ENST00000277746.10
chr10	70066585	70066886	-	PBLD	ENST00000277795.8
chr10	88854572	88854873	-	GLUD1	ENST00000277865.4
chr10	116418006	116418307	-	ABLIM1	ENST00000277895.9
chr10	118897761	118898062	-	VAX1	ENST00000277905.6
chr10	135192487	135192788	+	PAOX	ENST00000278060.9
chr10	127511864	127512165	+	BCCIP	ENST00000278100.10
chr10	63660808	63661109	+	ARID5B	ENST00000279873.11
chr10	128593727	128594028	+	DOCK1	ENST00000280333.9
chr10	62149437	62149738	-	ANK3	ENST00000280772.6
chr10	735557	735858	-	DIP2C	ENST00000280886.11
chr10	94449457	94449758	+	HHEX	ENST00000282728.9
chr10	127569833	127570134	-	DHX32	ENST00000284690.3
chr10	128209959	128210260	-	C10orf90	ENST00000284694.11
chr10	99473230	99473531	+	MARVELD1	ENST00000285605.7
chr10	71906291	71906592	-	TYSND1	ENST00000287078.6
chr10	72201372	72201673	-	NODAL	ENST00000287139.7
chr10	23216702	23217003	+	ARMC3	ENST00000298032.9
chr10	45495672	45495973	+	ZNF22	ENST00000298299.3
chr10	50323503	50323804	-	VSTM4	ENST00000298454.3
chr10	126490103	126490404	+	ABRAXAS2	ENST00000298492.5
chr10	120938294	120938595	-	PRDX3	ENST00000298510.3
chr10	70587047	70587348	+	STOX1	ENST00000298596.10
chr10	134121393	134121694	-	STK32C	ENST00000298630.7
chr10	71075359	71075660	+	HK1	ENST00000298649.7
chr10	115998838	115999139	+	VWA2	ENST00000298715.8
chr10	116697701	116698002	+	TRUB1	ENST00000298746.4
chr10	88854702	88855003	+	FAM35A	ENST00000298784.5
chr10	99894177	99894478	+	R3HCC1L	ENST00000298999.7
chr10	103824896	103825197	+	HPS6	ENST00000299238.6
chr10	72545106	72545407	-	TBATA	ENST00000299290.5
chr10	104613778	104614079	+	BORCS7-ASMT	ENST00000299353.6
chr10	135061338	135061639	-	MIR202HG	ENST00000300167.6
chr10	32345308	32345609	-	KIF5B	ENST00000302418.4
chr10	104404002	104404303	+	TRIM8	ENST00000302424.11
chr10	135043527	135043828	+	UTF1	ENST00000304477.2
chr10	134973700	134974001	+	KNDC1	ENST00000304613.7
chr10	134210421	134210722	+	PWWP2B	ENST00000305233.5
chr10	28287926	28288227	-	ARMC4	ENST00000305242.9
chr10	74856557	74856858	-	P4HA1	ENST00000307116.6
chr10	74033427	74033728	+	DDIT4	ENST00000307365.3
chr10	24738111	24738412	+	KIAA1217	ENST00000307544.10
chr10	21823021	21823322	+	MLLT10	ENST00000307729.11
chr10	89577866	89578167	-	ATAD1	ENST00000308448.11
chr10	76868892	76869193	-	DUSP13	ENST00000308475.10
chr10	99771043	99771344	-	CRTAC1	ENST00000309155.3
chr10	63808719	63809020	+	ARID5B	ENST00000309334.5
chr10	75571291	75571592	-	NDST2	ENST00000309979.10
chr10	93669189	93669490	-	FGFBP3	ENST00000311575.5
chr10	43932038	43932339	+	ZNF487	ENST00000315429.10
chr10	99160989	99161290	-	RRP12	ENST00000315563.10
chr10	62537961	62538262	+	CDK1	ENST00000316629.8
chr10	73976841	73977142	-	ASCC1	ENST00000317126.8
chr10	46090303	46090604	-	MARCH8	ENST00000319836.7
chr10	134258442	134258743	+	C10orf91	ENST00000321248.4
chr10	35894087	35894388	+	GJD4	ENST00000321660.1
chr10	101769625	101769926	-	DNMBP	ENST00000324109.8
chr10	17659315	17659616	-	HACD1	ENST00000326961.6
chr10	99258090	99258391	-	MMS19	ENST00000327238.14
chr10	96953706	96954007	+	ACSM6	ENST00000327739.7
chr10	5726550	5726851	+	FAM208B	ENST00000328090.9
chr10	124459287	124459588	-	C10orf120	ENST00000329446.4
chr10	63422468	63422769	+	C10orf107	ENST00000330194.2
chr10	69425359	69425660	-	CTNNA3	ENST00000330298.6
chr10	25305034	25305335	-	ENKUR	ENST00000331161.8
chr10	53459300	53459601	-	CSTF2T	ENST00000331173.5
chr10	131934412	131934713	+	GLRX3	ENST00000331244.9
chr10	76970258	76970559	+	VDAC2	ENST00000332211.10
chr10	111967112	111967413	+	MXI1	ENST00000332674.9
chr10	118083689	118083990	+	CCDC172	ENST00000333254.3
chr10	74653088	74653389	+	OIT3	ENST00000334011.9
chr10	119134927	119135228	-	PDZD8	ENST00000334464.6
chr10	80828541	80828842	+	ZMIZ1	ENST00000334512.9
chr10	126694531	126694832	-	CTBP2	ENST00000334808.10
chr10	47746711	47747012	+	AL603965.1	ENST00000335083.5
chr10	93975838	93976139	+	NHP2P1	ENST00000335274.2
chr10	72972076	72972377	+	UNC5B	ENST00000335350.10
chr10	105726708	105727009	+	SLK	ENST00000335753.8
chr10	92617404	92617705	-	HTR7	ENST00000336152.7
chr10	123357859	123358160	-	FGFR2	ENST00000336553.10
chr10	105110785	105111086	-	PCGF6	ENST00000337211.8
chr10	126432568	126432869	-	FAM53B	ENST00000337318.7
chr10	106098111	106098412	-	ITPRIP	ENST00000337478.2
chr10	99496627	99496928	+	ZFYVE27	ENST00000337540.11
chr10	62703954	62704255	-	RHOBTB1	ENST00000337910.9
chr10	43904563	43904864	-	HNRNPF	ENST00000337970.7
chr10	124319930	124320231	+	DMBT1	ENST00000338354.7
chr10	106028688	106028989	+	GSTO2	ENST00000338595.6
chr10	96443281	96443582	+	CYP2C18	ENST00000339022.6
chr10	103347832	103348133	-	POLL	ENST00000339310.7
chr10	98480220	98480521	-	PIK3AP1	ENST00000339364.9
chr10	124907387	124907688	+	HMX2	ENST00000339992.3
chr10	47746685	47746986	+	ANXA8L2	ENST00000340243.6
chr10	45454989	45455290	+	RASSF4	ENST00000340258.9
chr10	27444048	27444349	+	MASTL	ENST00000342386.10
chr10	73975982	73976283	-	ASCC1	ENST00000342444.8
chr10	75255703	75256004	-	PPP3CB	ENST00000342558.3
chr10	102222547	102222848	+	WNT8B	ENST00000343737.5
chr10	88779812	88780113	+	FAM25A	ENST00000343959.4
chr10	134145407	134145708	+	LRRC27	ENST00000344079.9
chr10	7860216	7860517	+	TAF3	ENST00000344293.5
chr10	101292439	101292740	+	NKX2-3	ENST00000344586.8
chr10	32217684	32217985	-	ARHGAP12	ENST00000344936.6
chr10	28824364	28824665	+	WAC	ENST00000345541.6
chr10	28821991	28822292	+	WAC	ENST00000347934.8
chr10	103599578	103599879	-	KCNIP2	ENST00000348850.9
